Date,District ID,District Code,Number of Pixels,NDVI Value,Long Term Average NDVI,NDVI Anomaly in Percentage (%),District
7/1/2002,25840,LK45,41,0.569,0.5443,104.1639,Mullaitivu
7/11/2002,25840,LK45,41,0.558,0.5411,102.8565,Mullaitivu
7/21/2002,25840,LK45,41,0.5432,0.5358,101.2562,Mullaitivu
8/1/2002,25840,LK45,41,0.5262,0.5304,99.2869,Mullaitivu
8/11/2002,25840,LK45,41,0.5099,0.5258,97.2336,Mullaitivu
8/21/2002,25840,LK45,41,0.4961,0.5225,95.3775,Mullaitivu
9/1/2002,25840,LK45,41,0.4884,0.5216,94.1965,Mullaitivu
9/11/2002,25840,LK45,41,0.4891,0.5242,93.8856,Mullaitivu
9/21/2002,25840,LK45,41,0.499,0.5317,94.3833,Mullaitivu
10/1/2002,25840,LK45,41,0.5186,0.545,95.5627,Mullaitivu
10/11/2002,25840,LK45,41,0.5465,0.5644,97.0897,Mullaitivu
10/21/2002,25840,LK45,41,0.5812,0.59,98.6279,Mullaitivu
11/1/2002,25840,LK45,41,0.6159,0.6182,99.6595,Mullaitivu
11/11/2002,25840,LK45,41,0.6446,0.6444,100.0308,Mullaitivu
11/21/2002,25840,LK45,41,0.6672,0.6672,99.9898,Mullaitivu
12/1/2002,25840,LK45,41,0.6837,0.6848,99.8562,Mullaitivu
12/11/2002,25840,LK45,41,0.6949,0.6958,99.8829,Mullaitivu
12/21/2002,25840,LK45,41,0.7009,0.6999,100.1297,Mullaitivu
1/1/2003,25840,LK45,41,0.7012,0.695,100.8338,Mullaitivu
1/11/2003,25840,LK45,41,0.6962,0.6823,101.8967,Mullaitivu
1/21/2003,25840,LK45,41,0.6869,0.6646,103.1217,Mullaitivu
2/1/2003,25840,LK45,41,0.6735,0.6435,104.3183,Mullaitivu
2/11/2003,25840,LK45,41,0.6581,0.6233,105.1719,Mullaitivu
2/21/2003,25840,LK45,41,0.6441,0.6064,105.7441,Mullaitivu
3/1/2003,25840,LK45,41,0.6313,0.5922,106.0851,Mullaitivu
3/11/2003,25840,LK45,41,0.6195,0.5802,106.2367,Mullaitivu
3/21/2003,25840,LK45,41,0.6105,0.5716,106.2573,Mullaitivu
4/1/2003,25840,LK45,41,0.6046,0.5663,106.2124,Mullaitivu
4/11/2003,25840,LK45,41,0.6015,0.5637,106.1643,Mullaitivu
4/21/2003,25840,LK45,41,0.5988,0.5625,105.9374,Mullaitivu
5/1/2003,25840,LK45,41,0.5942,0.5617,105.309,Mullaitivu
5/11/2003,25840,LK45,41,0.5853,0.5607,104.0344,Mullaitivu
5/21/2003,25840,LK45,41,0.5746,0.5586,102.6209,Mullaitivu
6/1/2003,25840,LK45,41,0.5666,0.5554,101.8456,Mullaitivu
6/11/2003,25840,LK45,41,0.5632,0.5515,101.9485,Mullaitivu
6/21/2003,25840,LK45,41,0.5638,0.5472,102.778,Mullaitivu
7/1/2003,25840,LK45,41,0.5679,0.5443,103.9784,Mullaitivu
7/11/2003,25840,LK45,41,0.5746,0.5411,105.6569,Mullaitivu
7/21/2003,25840,LK45,41,0.5822,0.5358,107.9234,Mullaitivu
8/1/2003,25840,LK45,41,0.5894,0.5304,110.1745,Mullaitivu
8/11/2003,25840,LK45,41,0.5937,0.5258,111.7883,Mullaitivu
8/21/2003,25840,LK45,41,0.5918,0.5225,112.0924,Mullaitivu
9/1/2003,25840,LK45,41,0.5844,0.5216,110.9853,Mullaitivu
9/11/2003,25840,LK45,41,0.5767,0.5242,109.1323,Mullaitivu
9/21/2003,25840,LK45,41,0.572,0.5317,106.9325,Mullaitivu
10/1/2003,25840,LK45,41,0.5724,0.545,104.6061,Mullaitivu
10/11/2003,25840,LK45,41,0.579,0.5644,102.3744,Mullaitivu
10/21/2003,25840,LK45,41,0.5925,0.59,100.3982,Mullaitivu
11/1/2003,25840,LK45,41,0.6109,0.6182,98.9083,Mullaitivu
11/11/2003,25840,LK45,41,0.6294,0.6444,97.8314,Mullaitivu
11/21/2003,25840,LK45,41,0.6465,0.6672,97.1061,Mullaitivu
12/1/2003,25840,LK45,41,0.6613,0.6848,96.7996,Mullaitivu
12/11/2003,25840,LK45,41,0.6725,0.6958,96.8812,Mullaitivu
12/21/2003,25840,LK45,41,0.6785,0.6999,97.1453,Mullaitivu
1/1/2004,25840,LK45,41,0.6757,0.695,97.4127,Mullaitivu
1/11/2004,25840,LK45,41,0.6651,0.6823,97.6483,Mullaitivu
1/21/2004,25840,LK45,41,0.6499,0.6646,97.9426,Mullaitivu
2/1/2004,25840,LK45,41,0.6313,0.6435,98.2365,Mullaitivu
2/11/2004,25840,LK45,41,0.6121,0.6233,98.3296,Mullaitivu
2/21/2004,25840,LK45,41,0.5939,0.6064,98.083,Mullaitivu
3/1/2004,25840,LK45,41,0.5777,0.5922,97.7452,Mullaitivu
3/11/2004,25840,LK45,41,0.5647,0.5802,97.5402,Mullaitivu
3/21/2004,25840,LK45,41,0.5562,0.5716,97.5148,Mullaitivu
4/1/2004,25840,LK45,41,0.5522,0.5663,97.7086,Mullaitivu
4/11/2004,25840,LK45,41,0.552,0.5637,98.0983,Mullaitivu
4/21/2004,25840,LK45,41,0.5562,0.5625,98.977,Mullaitivu
5/1/2004,25840,LK45,41,0.5648,0.5617,100.5041,Mullaitivu
5/11/2004,25840,LK45,41,0.5762,0.5607,102.5474,Mullaitivu
5/21/2004,25840,LK45,41,0.5887,0.5586,104.9384,Mullaitivu
6/1/2004,25840,LK45,41,0.5983,0.5554,107.0897,Mullaitivu
6/11/2004,25840,LK45,41,0.6021,0.5515,108.4135,Mullaitivu
6/21/2004,25840,LK45,41,0.6015,0.5472,109.1034,Mullaitivu
7/1/2004,25840,LK45,41,0.5975,0.5443,108.9571,Mullaitivu
7/11/2004,25840,LK45,41,0.5887,0.5411,108.0554,Mullaitivu
7/21/2004,25840,LK45,41,0.5758,0.5358,106.8242,Mullaitivu
8/1/2004,25840,LK45,41,0.5632,0.5304,105.6584,Mullaitivu
8/11/2004,25840,LK45,41,0.5542,0.5258,104.9178,Mullaitivu
8/21/2004,25840,LK45,41,0.5494,0.5225,104.6999,Mullaitivu
